Cage	Mouse 	Day	Gender	Co_Housed	Genotype	Treatment_Grp	Treatment_1	Treatment_2	Colonization_stat	Toxin_Activity	Experiment 
710	710_4	23	female	no	WT	Naive_VPI	mock	VPI	uncolonized 	0	2013
710	710_5	23	female	no	WT	Naive_VPI	mock	VPI	uncolonized 	0	2013
711	711_1	23	female	no	WT	Naive_Mock	mock	mock	uncolonized 	0	2013
711	711_2	23	female	no	WT	Naive_VPI	mock	VPI	uncolonized 	0	2013
711	711_3	23	female	no	WT	Naive_VPI	mock	VPI	uncolonized 	0	2013
712	712_1	23	female	no	WT	630_Mock	630	mock	colonized 	4.04	2013
712	712_2	23	female	no	WT	630_Mock	630	mock	colonized 	3.3	2013
712	712_3	23	female	no	WT	630_VPI 	630	VPI	colonized 	4.3	2013
712	712_4	23	female	no	WT	630_VPI 	630	VPI	colonized 	3.3	2013
713	713_1	23	female	no	WT	630_Mock	630	mock	colonized 	4.3	2013
713	713_2	23	female	no	WT	630_Mock	630	mock	colonized 	3.3	2013
713	713_3	23	female	no	WT	630_Mock	630	mock	colonized 	3.3	2013
713	713_4	23	female	no	WT	630_VPI 	630	VPI	colonized 	3.3	2013
713	713_5	23	female	no	WT	630_VPI 	630	VPI	colonized 	3.3	2013
714	714_1	23	female	no	WT	630_Mock	630	mock	cleared	0	2013
714	714_2	23	female	no	WT	630_Mock	630	mock	cleared	0	2013
714	714_3	23	female	no	WT	630_VPI 	630	VPI	cleared	0	2013
714	714_4	23	female	no	WT	630_VPI 	630	VPI	cleared	0	2013
715	715_1	23	female	no	WT	630_Mock	630	mock	colonized 	3.3	2013
715	715_2	23	female	no	WT	630_Mock	630	mock	colonized 	3.3	2013
715	715_3	23	female	no	WT	630_VPI 	630	VPI	colonized 	3.3	2013
715	715_4	23	female	no	WT	630_VPI 	630	VPI	colonized 	3.3	2013
715	715_5	23	female	no	WT	630_VPI 	630	VPI	colonized 	2.3	2013
